metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1724753944,1.000000,,,,,,,,,,,,,,,,
vus_max,1724753944,1.000000,,,,,,,,,,,,,,,,
vus,1724753945,1.000000,,,,,,,,,,,,,,,,
vus_max,1724753945,1.000000,,,,,,,,,,,,,,,,
vus,1724753946,1.000000,,,,,,,,,,,,,,,,
vus_max,1724753946,1.000000,,,,,,,,,,,,,,,,
http_reqs,1724753946,1.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
http_req_duration,1724753946,940.579800,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
http_req_blocked,1724753946,2105.447300,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
http_req_connecting,1724753946,309.461800,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
http_req_tls_handshaking,1724753946,659.028600,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
http_req_sending,1724753946,2.750500,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
http_req_waiting,1724753946,329.137400,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
http_req_receiving,1724753946,608.691900,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
http_req_failed,1724753946,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking,,
checks,1724753946,1.000000,fetched all booking IDs successfully,,,,,,,,default,,,,,,,
vus,1724753947,1.000000,,,,,,,,,,,,,,,,
vus_max,1724753947,1.000000,,,,,,,,,,,,,,,,
http_reqs,1724753948,1.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
http_req_duration,1724753948,1737.862900,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
http_req_blocked,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
http_req_connecting,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
http_req_tls_handshaking,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
http_req_sending,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
http_req_waiting,1724753948,1736.702500,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
http_req_receiving,1724753948,1.160400,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
http_req_failed,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,,
checks,1724753948,1.000000,fetched bookings by name successfully,,,,,,,,default,,,,,,,
vus,1724753948,1.000000,,,,,,,,,,,,,,,,
vus_max,1724753948,1.000000,,,,,,,,,,,,,,,,
http_reqs,1724753948,1.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
http_req_duration,1724753948,314.240400,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
http_req_blocked,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
http_req_connecting,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
http_req_tls_handshaking,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
http_req_sending,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
http_req_waiting,1724753948,314.240400,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
http_req_receiving,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
http_req_failed,1724753948,0.000000,,,,true,,GET,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/booking?checkin=2024-08-16&checkout=2024-08-17,,
checks,1724753948,1.000000,fetched bookings by date successfully,,,,,,,,default,,,,,,,
vus,1724753949,1.000000,,,,,,,,,,,,,,,,
vus_max,1724753949,1.000000,,,,,,,,,,,,,,,,
data_sent,1724753949,881.000000,,,,,,,,,default,,,,,,,
data_received,1724753949,61376.000000,,,,,,,,,default,,,,,,,
iteration_duration,1724753949,6169.508900,,,,,,,,,default,,,,,,,
iterations,1724753949,1.000000,,,,,,,,,default,,,,,,,
